date,crypto_price,energy_used
2021-01-25,22.437037,34517.64588
2021-01-26,22.19121,34441.49139
2021-01-27,21.462456,35632.08393
2021-01-28,21.947098,34627.84246
2021-01-29,22.275328,35654.5341
2021-01-30,22.059891,36110.72737
2021-01-31,22.27236,35633.35562
2021-02-01,22.609543,36481.91325
2021-02-02,22.543348,36230.75506
2021-02-03,23.035694,35759.25263
2021-02-04,22.882219,36158.85583
2021-02-05,24.519003,37429.22227
2021-02-06,24.278181,36385.31394
2021-02-07,24.080338,37077.20952
2021-02-08,27.655272,37622.37197
2021-02-09,43.764973,37540.59271
2021-02-10,39.909206,37422.47255
2021-02-11,40.253323,36614.55999
2021-02-12,42.785889,37184.76489
2021-02-13,41.695164,37216.16578
2021-02-14,47.475773,36886.94557
2021-02-15,42.972301,38133.93254
2021-02-16,41.955551,38201.62541
2021-02-17,43.240036,37883.26346
2021-02-18,43.432198,37015.58161
2021-02-19,43.141293,37305.47734
2021-02-20,43.265217,39150.49959
2021-02-21,44.788364,39147.12473
2021-02-22,39.474373,39720.21538
2021-02-23,35.442047,40041.21854
2021-02-24,36.671761,39876.04596
2021-02-25,34.910561,40250.41106
2021-02-26,35.106033,41768.80538
2021-02-27,38.028404,40410.15451
2021-02-28,35.991943,39805.12495
2021-03-01,38.432846,39713.36784
2021-03-02,38.186371,39601.36156
2021-03-03,42.25827,37937.40798
2021-03-04,40.744232,48618.2096
2021-03-05,40.551811,50205.22612
2021-03-06,40.485287,49382.83589
2021-03-07,41.532177,49508.34162
2021-03-08,41.543385,49672.87836
2021-03-09,41.97176,49190.71333
2021-03-10,42.632648,49435.65982
2021-03-11,42.244408,49509.46657
2021-03-12,44.132339,50038.63512
2021-03-13,49.669102,50571.66763
2021-03-14,54.541752,49944.48136
2021-03-15,53.606438,49277.48151
2021-03-16,63.240593,50776.06687
2021-03-17,89.26825,51658.47094
2021-03-18,79.687279,50618.81787
2021-03-19,83.317841,51765.63503
2021-03-20,82.451317,52640.80027
2021-03-21,80.999252,51377.67266
2021-03-22,76.779648,53138.07881
2021-03-23,82.449516,49101.64632
2021-03-24,86.365334,46623.42175
2021-03-25,90.843285,52275.67935
2021-03-26,124.072655,51970.181
2021-03-27,133.18425,53530.58991
2021-03-28,125.447052,52953.7331
2021-03-29,127.529121,53824.00723
2021-03-30,149.664902,54323.92697
2021-03-31,191.356552,55669.02949
2021-04-01,188.178619,55592.04351
2021-04-02,171.975632,54246.98991
2021-04-03,178.852188,57077.47179
2021-04-04,183.776642,55397.42648
2021-04-05,176.778198,56204.06735
2021-04-06,166.026062,54752.4366
2021-04-07,156.494781,56287.31394
2021-04-08,154.596664,57661.37179
2021-04-09,172.519867,57835.88638
2021-04-10,174.755371,54517.81034
2021-04-11,179.184311,50837.49913
2021-04-12,168.178284,54436.1289
2021-04-13,163.96521,55270.25778
2021-04-14,168.193771,55928.79602
2021-04-15,171.222122,57168.34851
2021-04-16,183.253845,55992.18473
2021-04-17,182.68866,58085.67506
2021-04-18,156.309326,55857.8261
2021-04-19,154.857834,58932.32516
2021-04-20,153.701645,56892.34351
2021-04-21,148.277863,60038.83962
2021-04-22,145.826233,59232.10093
2021-04-23,138.894791,57867.09162
2021-04-24,133.53949,58067.48015
2021-04-25,133.92662,59234.69321
2021-04-26,154.290405,58941.17806
2021-04-27,152.286957,56953.62904
2021-04-28,150.940002,53730.00022
2021-04-29,149.798523,57261.52404
2021-04-30,163.893555,56998.38264
2021-05-01,164.376724,56802.49393
2021-05-02,162.581589,55261.69834
2021-05-03,160.305832,59721.45588
2021-05-04,140.924927,57916.24722
2021-05-05,152.309418,56911.56555
2021-05-06,153.511963,57862.34725
2021-05-07,150.427643,58675.93349
2021-05-08,148.015884,61105.5894
2021-05-09,146.416107,60265.83576
2021-05-10,135.719299,59670.05038
2021-05-11,143.126099,62955.45385
2021-05-12,126.860405,61130.8275
2021-05-13,117.703171,61179.34725
2021-05-14,120.49752,60696.74202
2021-05-15,110.35968,58173.71493
2021-05-16,107.695923,62497.98889
2021-05-17,99.48632,59870.14544
2021-05-18,100.091484,62834.7414
2021-05-19,65.360855,63261.68587
2021-05-20,89.00901,63107.71392
2021-05-21,76.721237,60297.9214
2021-05-22,72.308556,59222.71001
2021-05-23,65.106728,62002.22659
2021-05-24,74.780365,60171.58418
2021-05-25,71.935547,60224.21246
2021-05-26,74.758377,61025.91332
2021-05-27,71.175743,59631.85086
2021-05-28,66.820404,59953.63659
2021-05-29,68.212379,57952.14792
2021-05-30,68.422081,58009.56948
2021-05-31,72.690613,56854.14398
2021-06-01,69.211021,60940.27009
2021-06-02,70.053764,61435.59219
2021-06-03,89.32058,55784.65518
2021-06-04,87.866524,61615.19353
2021-06-05,88.244629,59912.89369
2021-06-06,87.023476,60423.23148
2021-06-07,81.864487,61800.56637
2021-06-08,76.222862,60487.69624
2021-06-09,77.572128,61394.94712
2021-06-10,73.382317,57801.59974
2021-06-11,70.816826,55603.29305
2021-06-12,69.721138,56678.94464
2021-06-13,73.185097,56394.52694
2021-06-14,74.556,57590.30405
2021-06-15,74.318108,60164.93228
2021-06-16,69.628685,59710.25525
2021-06-17,68.880341,58917.65185
2021-06-18,65.678658,56982.48655
2021-06-19,64.93502,57884.40613
2021-06-20,63.315895,58718.33936
2021-06-21,46.222328,57360.51998
2021-06-22,49.314754,57232.51979
2021-06-23,58.006371,56669.35808
2021-06-24,57.141617,56794.91272
2021-06-25,52.157543,58136.49363
2021-06-26,52.975452,57982.81514
2021-06-27,56.127647,56087.36561
2021-06-28,56.342426,55000.02428
2021-06-29,64.280266,49165.91543
2021-06-30,60.372555,34014.4491
2021-07-01,56.82608,53644.65045
2021-07-02,57.194809,64361.35278
2021-07-03,58.858742,66801.42674
2021-07-04,58.772308,64830.31183
2021-07-05,56.096802,66978.14233
2021-07-06,57.038994,72157.47909
2021-07-07,56.416328,78365.80631
2021-07-08,53.88549,82143.69504
2021-07-09,55.207897,83002.67072
2021-07-10,54.264488,81594.08168
2021-07-11,55.09626,80488.64327
2021-07-12,52.528614,81252.48698
2021-07-13,50.941856,80705.27026
2021-07-14,49.674278,83929.92622
2021-07-15,47.173065,86367.8481
2021-07-16,45.8703,83976.00042
2021-07-17,45.615139,82001.55956
2021-07-18,46.892002,78958.75485
2021-07-19,44.647362,78580.72142
2021-07-20,41.262764,78722.8569
2021-07-21,46.171818,80287.47216
2021-07-22,45.620296,82975.76965
2021-07-23,47.376389,85409.53409
2021-07-24,49.526295,85390.75225
2021-07-25,49.005375,82259.90767
2021-07-26,49.129223,82607.12714
2021-07-27,49.637131,80767.77857
2021-07-28,49.517242,85421.71294
2021-07-29,49.371132,86975.22539
