date,storageCapacity,storageCapacityAdded,cumulativeRenewableEnergyPurchase,energyIntensityEstimate,energyConsumptionRateEstimate,energyUsedSealDataEstimate,cumulativeEnergyUseEstimate,energyUsedStoreDataEstimate,close,volume
2020-11-07,1001994330,16519328,37202877.6,47.910124,44708.7666,25249.29727,62882370.77,3227.624136,29.940458,250025476
2020-11-08,1018349276,16420448,37489228.96,46.97769704,44554.19608,25098.16215,63951672.4,3280.306688,30.691877,158935676
2020-11-09,1035056252,17474112,37775580.33,48.93005172,47167.16329,26708.65597,65083685.3,3334.123199,31.19936,120973317
2020-11-10,1053428805,18311296,38061931.69,50.21911099,49269.0672,27988.2666,66266143.94,3393.304867,30.370979,166251727
2020-11-11,1070566715,17669120,38348283.06,47.95651994,47814.71008,27006.71985,67413697.97,3448.509502,30.097725,136605538
2020-11-12,1089341169,18540768,38634634.43,49.28533131,50001.3497,28339.00766,68613731.4,3508.985774,29.517569,127621327
2020-11-13,1107582523,18381056,38920985.79,48.19150804,49710.34086,28094.89266,69806780.61,3567.744823,29.223934,106895368
2020-11-14,1125461478,17318080,39207337.16,45.07860658,47249.93853,26470.16574,70940780.11,3625.336513,29.353889,113754591
2020-11-15,1142648464,17224224,39493688.52,44.27059697,47111.63196,26326.70966,72071460.24,3680.699232,27.825686,120001960
2020-11-16,1160565899,18010880,39780039.89,45.41747017,49089.98227,27529.08975,73249620.82,3738.414874,27.535135,124016435
2020-11-17,1178394433,18026304,40066391.26,44.84620834,49217.15917,27552.66487,74430833.65,3795.844148,29.247807,156328455
2020-11-18,1196264057,17708384,40352742.62,43.57264386,48544.61897,27066.73369,75595905.5,3853.40578,28.882557,131936788
2020-11-19,1213927208,17624288,40639093.99,42.83915515,48432.14155,26938.19548,76758277.89,3910.302322,28.700035,96975839
2020-11-20,1231287682,16866496,40925445.36,40.7259153,46701.46653,25779.93314,77879114.03,3966.223881,29.099771,124609578
2020-11-21,1248846699,18635008,41211796.72,43.87849544,51034.16199,28483.05068,79103934.96,4022.784987,29.902411,172080145
2020-11-22,1266836356,17101664,41498148.09,40.21379847,47445.57842,26139.38037,80242629.8,4080.73327,29.709885,131925461
2020-11-23,1284027671,16683456,41784499.45,38.90887826,46528.94692,25500.16199,81359325.46,4136.109934,29.206049,113525150
2020-11-24,1297315436,9872992,42070850.82,25.03940673,30253.09077,15090.57208,82085400.19,4178.912482,30.162628,196683760
2020-11-25,1310086363,16991488,42357202.19,38.84879245,47399.91687,25970.97966,83222999.15,4220.050192,30.973227,377442086
2020-11-26,1328973039,20067456,42643553.55,44.33765143,54876.82611,30672.50447,84540044.1,4280.887953,29.928549,270925520
2020-11-27,1348659717,18745920,42929904.92,41.24487588,51805.10007,28652.57634,85783367.56,4344.30268,29.921663,137123750
2020-11-28,1366491379,17534240,43216256.28,38.49277844,48987.61389,26800.55981,86959071.27,4401.74203,29.986433,110505099
2020-11-29,1384969238,18926432,43502607.65,40.64176085,52421.90189,28928.48352,88217197.98,4461.262909,30.012173,97053742
2020-11-30,1403479034,18285216,43788959.02,39.00016059,50976.7865,27948.4041,89440641.88,4520.886664,30.37175,143409253
2020-12-01,1421649836,18492352,44075205.01,38.94650844,51565.74523,28265.00526,90678220.8,4579.418452,30.226955,178485785
2020-12-02,1440496644,18302016,44361451,38.16753717,51204.30999,27974.0824,91907125.27,4640.12779,30.605064,136396725
2020-12-03,1458245323,17670208,44647696.99,36.6527056,49777.92177,27008.38282,93101796.38,4697.299834,30.502073,116439920
2020-12-04,1478033809,21141312,44933942.98,42.28586171,58207.59874,32313.86115,94498779.93,4761.042506,29.122169,140952119
2020-12-05,1497076549,17833568,45220188.97,36.12401856,50366.31696,27258.07368,95707572.54,4822.38298,29.878197,111381414
2020-12-06,1515228049,18521504,45506434.96,36.92616573,52108.95282,28309.56322,96958188.45,4880.852591,29.360336,111233423
2020-12-07,1533742375,18544096,45792680.94,36.58392152,52256.799,28344.09441,98212352.66,4940.490938,30.49172,232541218
2020-12-08,1552237708,18340896,46078926.93,35.87541236,51862.71654,28033.50931,99457058.89,5000.068105,29.977901,180953602
2020-12-09,1570659590,18694240,46365172.92,36.09798646,52803.80008,28573.58501,100724351.1,5059.408671,30.498098,251786320
2020-12-10,1590008757,19658176,46651418.91,37.28687029,55214.80951,30046.93227,102049507.7,5121.736208,30.606852,345738743
2020-12-11,1609229824,18549344,46937664.9,35.13093368,52651.15408,28352.11582,103313136.4,5183.651109,30.012934,296349090
2020-12-12,1627655644,18741600,47223910.89,35.09905809,53205.69501,28645.97335,104590074.1,5243.00436,30.068363,185606985
2020-12-13,1646352842,18516960,47510156.88,34.41053971,52761.18391,28302.61785,105856343.6,5303.231775,30.087234,201700286
2020-12-14,1664508157,18174016,47796402.87,33.56356543,52030.0385,27778.43824,107105065.5,5361.713675,29.442978,230496134
2020-12-15,1682885969,18279488,48082648.86,33.41782512,52376.08125,27939.64902,108362092.5,5420.912283,29.191568,233119953
2020-12-16,1700972301,18033312,48368894.85,32.74732389,51876.80094,27563.37639,109607136.7,5479.171976,28.56122,289096533
2020-12-17,1718965254,18130976,48655140.84,32.60778129,52202.16051,27712.65289,110859989.6,5537.130876,28.563356,346224103
2020-12-18,1737064266,17880064,48941386.83,31.95242213,51691.57935,27329.14142,112100588.5,5595.431414,28.489697,190473377
2020-12-19,1753011736,13559616,49227632.82,25.36075472,41404.46024,20725.46627,113094296.3,5646.801404,28.299299,212143039
2020-12-20,1767816508,17884256,49513878.81,31.49716226,51857.16171,27335.54877,114338869.2,5694.490536,28.348827,199569773
2020-12-21,1786123540,17376384,49800124.8,30.4973323,50731.0062,26559.28165,115556414.3,5753.461147,25.221773,303816853
2020-12-22,1803976702,17850464,50086370.79,30.92639206,51958.94349,27283.89871,116803430,5810.969752,24.674934,346795531
2020-12-23,1821310090,17625696,50372616.78,30.36575996,51507.22805,26940.34757,118039604.4,5866.804062,22.332573,242924534
2020-12-24,1839201515,17753088,50658862.77,30.3016631,51903.41239,27135.06242,119285287.3,5924.43592,23.753868,248621985
2020-12-25,1857392642,18343936,50945108.76,30.87772462,53413.26679,28038.15586,120567206.8,5983.033178,24.356476,269726372
2020-12-26,1875329422,17985472,51231354.75,30.14180871,52643.77287,27490.25439,121830658.3,6040.811134,23.564009,130688584
2020-12-27,1893725496,18517728,51517600.74,30.62595721,54014.06065,28303.79172,123126996.8,6100.068568,22.268867,201119219
