Date,Data storage capacity,Data storage capacity added per day,Cumulative renewable energy purchases,Energy intensity lower bound,Energy intensity estimate,Energy intensity upper bound,Energy consumption rate lower bound,Energy consumption rate estimate,Energy consumption rate upper bound,Energy used to seal data lower bound,Energy used to seal data estimate,Energy used to seal data upper bound,Cumulative energy use lower bound,Cumulative energy use estimate,Cumulative energy use upper bound,Energy used to store data lower bound,Energy used to store data estimate,Energy used to store data upper bound
2021-10-13T00:00:00.000Z,13691764455,47844576,1174921025.2181292,2.417675701103944,14.434098054085796,36.16653863096125,30828.86918270232,184055.66986363064,461175.784550402,12861.57892032,73128.99907872,119869.8007104,160844505.84776405,1039556022.5955956,2420260436.668195,13264.581404004,44103.911662446,119081.3829944715
2021-10-14T00:00:00.000Z,13738496065,45162336,1177212250.0055225,2.347130279742312,13.900416958500056,35.091164388820445,30031.46509852456,177855.43919188186,448990.44919021224,12140.53916352,69029.27570592,113149.7166144,161565258.10040963,1043824555.6675044,2431036202.4020042,13309.854987772,44254.443524578,119487.8218261245
2021-10-15T00:00:00.000Z,13783955408,45975936,1179503474.792915,2.363541609543645,14.024569827663552,35.34133401013665,30341.51359545267,180037.7342113263,453687.61946908885,12359.25111552,70272.83889792,115188.1100544,162293451.4645629,1048145463.8654816,2441924700.1315894,13353.8959992704,44400.8771602496,119883.1953699984
2021-10-16T00:00:00.000Z,13830120872,46047200,1181794699.5803082,2.361504450709443,14.009158577187836,35.31028014306539,30416.894697656448,180442.21814491163,454807.134720288,12378.408304,70381.763784,115366.65488,163023453.97057766,1052476079.6818588,2452840066.21924,13398.6211007936,44549.5853528864,120284.7102600456
2021-10-17T00:00:00.000Z,13874997976,43336960,1184085924.3677013,2.291306476661247,13.478105945070224,34.24020228847402,29608.488759091582,174165.41716844117,442455.2781976831,11649.8415872,66239.2432512,108576.419584,163734054.9086822,1056656052.1228948,2463458988.053209,13442.0980391488,44694.1434802912,120675.0198966648
2021-10-18T00:00:00.000Z,13916393180,39873536,1186377149.155094,2.2033759262605415,12.812905120303048,32.89981410773788,28557.18667915872,166063.59317169752,426403.012752711,10718.80394752,60945.50356992,99899.1570944,164419424.82000983,1060641580.5938874,2473692655.9035263,13482.201712784,44827.485711416,121035.046404414
2021-10-19T00:00:00.000Z,13956273692,40215648,1188668373.9424872,2.2089364346689035,12.854970759179539,32.98457690878356,28711.29796884013,167086.24569491172,428726.694503619,10810.77049536,61468.41149856,100756.2844992,165108493.38024822,1064651652.744612,2483982092.0776353,13520.8379528096,44955.9488166704,121381.8991814316
2021-10-20T00:00:00.000Z,13996422210,40213216,1190959598.72988,2.20606197303411,12.833225253874357,32.94075943711189,28756.42366335824,167283.45208732405,429388.8593091257,10810.11672512,61464.69425952,100750.1913664,165798644.95731175,1068666457.8486184,2494287420.207348,13559.733837048,45085.275222852,121731.082887033
2021-10-21T00:00:00.000Z,14035600564,37988736,1193250823.517273,2.149349410956398,12.404190715857284,32.076249348618006,28095.589768749374,162143.50816556255,419290.19936217694,10212.13201152,58064.64331392,95176.9791744,166472936.66422343,1072557904.1738226,2504350380.746913,13597.6898264032,45211.4765367568,122071.8287852772
2021-10-22T00:00:00.000Z,14073771518,38801856,1195542048.304666,2.1665274253166618,12.534143607863948,32.338106090240636,28397.15403633891,164287.79187693953,423862.70727858966,10430.71492992,59307.47284032,97214.1700224,167154465.8611696,1076500813.3536744,2514523081.385608,13634.6698466384,45334.4328137816,122403.8130235014
2021-10-23T00:00:00.000Z,14112966285,39330720,1197833273.092059,2.176682981021606,12.610971104110853,32.49291447906207,28609.72054702344,165755.12477515795,427077.9029879639,10572.8841504,60115.8255984,98539.185888,167841096.62029853,1080478938.5527256,2524772946.6622286,13672.641736908,45460.686997242,122744.7016705305
2021-10-24T00:00:00.000Z,14152071456,38765152,1200124497.879452,2.16044857294914,12.488156660323124,32.245441802018455,28475.022484911104,164595.6983888663,424999.5541874828,10420.84816064,59251.37187744,97122.2118208,168524494.66237518,1084429237.4868064,2534972931.63084,13710.5268265728,45586.6525740672,123084.8110742688
2021-10-25T00:00:00.000Z,14190321108,37036992,1202415722.6668448,2.1164541325814583,12.155335611388605,31.574803126174697,27970.563389067072,160642.07581906748,417285.22189175826,9956.28418944,56609.93116224,92792.4797568,169195785.7974935,1088284649.3823504,2544987772.8174686,13747.5830894304,45709.8623530896,123417.4797726084
2021-10-26T00:00:00.000Z,14225143004,35085696,1204706947.454238,2.06755724585858,11.785427209492092,30.829432959156904,27391.405302374336,156135.65912307953,408434.39528368216,9431.73679872,53627.43376512,87903.7027584,169853177.26424924,1092031907.1678224,2554790194.383556,13781.3185422752,45822.0306444848,123720.3362486892
2021-10-27T00:00:00.000Z,14262976788,39084768,1206998172.2416308,2.1608264897241014,12.491015627419907,32.25120265733156,28703.192310249793,165923.559993911,428406.6659273617,10506.76733376,59739.89534496,97922.9777472,170542051.3615418,1096014074.7983387,2565071949.998207,13817.9719122144,45943.9008295056,124049.3880182724
2021-10-28T00:00:00.000Z,14302127881,38457376,1209289397.029024,2.1433304575240877,12.358656907992295,31.984498142645727,28548.935702770705,164616.0069252456,426030.1428341551,10338.11181632,58780.94549472,96351.1098304,171227223.3406765,1099964861.120042,2575296669.1287303,13855.9014911128,46070.0143302772,124389.8968194213
2021-10-29T00:00:00.000Z,14340779257,39117120,1211580621.8164167,2.1565312383170983,12.458521747130286,32.18572707241823,28802.397148246288,166394.66420200598,429869.0773282188,10515.4641984,59789.3444064,98004.032448,171918478.35199657,1103958335.2533655,2585613522.6133866,13893.3469441816,46194.5181426484,124726.0594319061
2021-10-30T00:00:00.000Z,14379265000,37544128,1213871846.6038096,2.116785488958727,12.15784234578804,31.579854228091815,28347.4284167328,162814.5919351912,422909.01076710096,10092.61248896,57385.07332416,94063.0582912,172598814.2151051,1107865887.5641208,2595763334.676353,13930.631932,46318.488418,125060.7814845
2021-10-31T00:00:00.000Z,14415559567,34756608,1216163071.3912027,2.048685218413845,11.642658988844564,30.541753166204675,27504.697255862127,156308.93797795923,410039.4081771694,9343.27136256,53124.43262976,87079.2056832,173258924.70994705,1111617304.0236652,2605604276.588659,13965.7941085096,46435.4004772204,125376.4462220691
2021-11-01T00:00:00.000Z,14449728869,34500960,1218454296.1785955,2.040717364650747,11.582381612316338,30.42029348056388,27462.665566674896,155868.2638735158,409376.80090736254,9274.5480672,52733.6823312,86438.705184,173918026.46071938,1115358144.2903738,2615429315.9550567,13998.8973282872,46545.4666328228,125673.6268923537
2021-11-02T00:00:00.000Z,14484564961,35116160,1220745520.9659886,2.0532276948327923,11.67702314381231,30.610997378545925,27697.635745191823,157520.7340322899,412936.3038116592,9439.9261312,53673.9970752,87980.027264,174582767.45614004,1119138643.8753743,2625339783.322411,14032.6465342168,46657.6806523732,125976.6068353053
2021-11-03T00:00:00.000Z,14520793934,38217600,1223036745.7533815,2.1239147210503706,12.21177549013556,31.68853020464168,28722.852466405857,165146.47329275525,428541.2069158039,10273.655232,58414.455072,95750.37504,175272113.45305023,1123102161.376459,2635624768.017688,14067.7451632592,46774.3814202008,126291.7010821782
2021-11-04T00:00:00.000Z,14559891880,38465248,1225327970.5407743,2.1273007418213448,12.23739097644,31.740145737587387,28846.10444043072,165938.48309503312,430394.9793751493,10340.22796736,58792.97761056,96370.8323392,175964417.48138157,1127084687.1266782,2645954243.224316,14105.623253344,46900.323723856,126631.747647924
2021-11-05T00:00:00.000Z,14597427893,36957280,1227619195.3281677,2.089801806183772,11.95370887959957,31.168522679506477,28410.676099759312,162509.6457301346,423733.38932677254,9934.8560096,56488.0937616,92592.769312,176646271.32669216,1130984920.69562,2656123840.438293,14141.9881427384,47021.2347289316,126958.2096137889
2021-11-06T00:00:00.000Z,14633719845,35560704,1229910420.1155603,2.0551580063002115,11.691626086411134,30.640422494893727,28009.15995743688,159341.8239439226,417589.5440603707,9559.42844928,54353.46924288,89093.7878016,177318488.8745656,1134809126.463416,2666145985.52194,14177.147785836,47138.138364714,127273.8516079185
