date,close,high,low,filecoin_volume,energy_used
2020-08-24,22.020189,23.807421,20.411312,16525999,3137.985593
2020-08-25,22.193523,22.780449,21.049786,12692456,21374.51577
2020-08-26,21.462585,22.588533,20.349331,11780846,20195.46624
2020-08-27,22.159378,22.822914,20.498943,12722236,21822.78545
2020-08-28,24.273489,24.722673,21.962742,14827319,24722.32972
2020-08-29,23.958603,24.903015,23.661215,11909919,20100.28535
2020-08-30,23.271317,24.087238,22.653906,12931604,21144.78061
2020-08-31,23.135849,24.045937,22.749643,11390455,22012.02226
2020-09-01,23.747984,24.385921,22.957739,15030026,21364.48901
2020-09-02,23.038567,24.075901,22.530508,12435331,21283.68797
2020-09-03,21.631742,23.208532,20.995022,12912275,21757.68486
2020-09-04,20.949558,21.750168,19.627045,12383956,22330.04185
2020-09-05,19.890278,21.460339,19.320528,11157500,23506.20562
2020-09-06,20.203026,20.486441,19.413303,10939716,24729.66638
2020-09-07,20.467377,20.751619,19.634346,9957541,24440.60213
2020-09-08,20.077477,20.677572,19.60965,9091454,21675.12302
2020-09-09,20.313395,20.44585,19.399841,9581440,19055.74118
2020-09-10,19.929527,21.022532,19.774307,10236703,19188.68139
2020-09-11,18.918404,20.040115,17.199663,12620734,21384.00451
2020-09-12,18.329935,19.279545,17.768951,9289330,21969.32293
2020-09-13,18.18145,19.003172,17.766479,9197071,19636.02176
2020-09-14,18.128639,18.569212,17.664417,9357731,19992.77889
2020-09-15,17.911659,18.569323,17.652281,9374042,18318.79854
2020-09-16,18.02022,18.307661,17.472136,8725364,17807.18907
2020-09-17,18.568575,18.952145,17.683092,9442269,20110.31212
2020-09-18,18.906687,19.438625,18.015774,8882176,21102.66821
2020-09-19,18.139364,19.028406,17.642431,7207981,21269.60159
2020-09-20,16.745331,18.275475,16.371574,6940381,18590.79284
2020-09-21,15.709917,17.098686,13.966206,8554981,20657.13754
2020-09-22,16.351149,16.487684,14.555677,7167104,21399.0202
2020-09-23,16.112314,17.505423,15.340613,8097062,20681.00613
2020-09-24,16.590204,16.600517,14.987336,8848886,20773.83929
2020-09-25,16.349289,16.688671,15.359608,8632239,20071.91695
2020-09-26,16.221144,16.832842,15.131811,8505810,19567.88868
2020-09-27,15.173901,16.204081,14.736647,8759600,20605.34075
2020-09-28,17.763321,18.697372,15.322789,17132372,21523.59662
2020-09-29,21.540382,22.597506,17.725845,16078227,22508.51823
2020-09-30,22.186716,22.936398,21.210981,14750775,24773.6374
2020-10-01,21.758898,22.397251,21.169989,15845294,26397.28829
2020-10-02,20.70903,22.023842,19.179295,17809501,25081.92369
2020-10-03,20.316441,20.923155,20.061783,11834165,25573.23509
2020-10-04,21.564394,21.814026,20.083618,13751247,24957.9342
2020-10-05,20.777245,21.837091,19.965164,13939732,24553.09752
2020-10-06,19.470373,20.883034,19.470276,12446092,23028.00239
2020-10-07,19.500299,20.055908,18.596428,14696171,24289.3692
2020-10-08,20.234339,20.585331,19.512207,14326140,25668.26924
2020-10-09,22.22176,22.689537,19.965759,18017452,25720.11494
2020-10-10,26.134886,27.831268,22.189569,14383633,25961.93112
2020-10-11,26.476744,27.391697,23.916943,22896861,24036.20565
2020-10-12,27.37142,28.055487,25.622137,20190714,17197.95315
2020-10-13,33.309551,35.078121,27.579967,26861144,22545.29933
2020-10-14,30.216923,34.664761,26.961361,31721719,22370.5891
2020-10-15,59.259228,131.86145,22.549198,155585295,13754.32247
2020-10-16,44.040546,70.716904,39.324623,298888285,8401.253697
2020-10-17,41.978329,50.126324,40.632431,146392993,9332.226432
2020-10-18,32.441029,41.963085,32.064705,113244527,9541.076573
2020-10-19,33.882938,34.851723,30.118111,165602768,8146.427178
2020-10-20,31.051367,33.897694,30.220015,159278253,10790.01998
2020-10-21,26.82373,31.591314,26.823235,121870445,11561.64055
2020-10-22,23.770475,26.773901,22.917082,131813182,11392.40835
2020-10-23,24.497433,25.20401,20.908739,152750723,12994.97857
2020-10-24,25.737793,26.561028,22.508595,209835957,14669.05674
2020-10-25,38.494858,39.096718,25.37361,362525482,17376.52736
2020-10-26,33.72261,40.238499,32.274654,328497595,19169.75282
2020-10-27,35.245758,37.382252,33.115692,281520832,19953.25877
2020-10-28,33.615265,36.196545,32.751049,216184588,21240.89081
2020-10-29,32.643192,34.046764,31.977867,185711692,21710.29006
2020-10-30,29.268766,32.640877,28.753237,209568228,22156.40765
2020-10-31,31.146847,31.961834,28.475515,181778860,23078.03838
2020-11-01,31.591875,31.698109,30.667553,141046706,22490.6657
2020-11-02,29.743048,31.825472,29.51115,219772147,21978.71385
2020-11-03,28.788294,29.742138,28.13422,259968420,21438.19794
2020-11-04,28.857746,29.392834,28.375723,193294321,24414.38582
2020-11-05,29.346533,29.966993,28.410061,114425034,24174.37934
2020-11-06,31.754433,32.980946,29.239832,222704034,24934.40799
2020-11-07,29.940458,33.081043,29.556396,250025476,25249.29727
2020-11-08,30.691877,31.055048,29.694471,158935676,25098.16215
2020-11-09,31.19936,32.237671,30.363079,120973317,26708.65597
2020-11-10,30.370979,31.198271,30.370979,166251727,27988.2666
2020-11-11,30.097725,30.908148,29.90296,136605538,27006.71985
2020-11-12,29.517569,30.333082,28.932777,127621327,28339.00766
2020-11-13,29.223934,29.965973,29.204842,106895368,28094.89266
2020-11-14,29.353889,29.49954,28.613991,113754591,26470.16574
2020-11-15,27.825686,29.353779,27.594658,120001960,26326.70966
2020-11-16,27.535135,28.084909,27.291561,124016435,27529.08975
2020-11-17,29.247807,29.915535,27.337812,156328455,27552.66487
2020-11-18,28.882557,29.745277,28.063452,131936788,27066.73369
